p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.65108180368142e-17,0.702950728151572,0.199,0.099,6.54174655687791e-13,9,PLEKHB2
4.79828630111863e-17,0.577065977178519,0.239,0.124,6.74878968252335e-13,9,EIF5B
5.21116157764838e-17,0.538726701794032,0.165,0.073,7.32949875896244e-13,9,GGNBP2
7.0941799719502e-17,0.607963248844757,0.141,0.058,9.97796413054795e-13,9,ZNF394
7.12043975074506e-17,0.628824993333355,0.202,0.102,1.00148985094229e-12,9,RAB5A
7.41567101033087e-17,0.604495148464315,0.299,0.18,1.04301412760304e-12,9,SNRPB2
8.11965378357825e-17,0.529512435010073,0.195,0.095,1.14202930466028e-12,9,CRBN
1.03149674133893e-16,0.517668927441239,0.491,0.392,1.45080016669321e-12,9,CHMP5
1.11844320049841e-16,0.568308033637772,0.144,0.061,1.57309036150102e-12,9,MED30
1.16480324437423e-16,0.618273581383839,0.176,0.083,1.63829576321235e-12,9,YY1
1.17415919006387e-16,0.606922190010344,0.305,0.181,1.65145490082484e-12,9,ANXA2R
1.17723405165426e-16,0.593454299756756,0.236,0.125,1.65577969365172e-12,9,HIF1A
1.73307702946302e-16,0.56819642411417,0.301,0.179,2.43757284193974e-12,9,TGIF1
1.97900533196573e-16,0.462237657952642,0.141,0.058,2.7834709994098e-12,9,YTHDC1
2.19313088312375e-16,1.11972094649369,0.38,0.259,3.08463858711355e-12,9,HSPA1A
2.69894517120366e-16,0.542476084813098,0.188,0.091,3.79606638329794e-12,9,TOMM20
4.24690566694174e-16,0.635556755327473,0.269,0.158,5.97327282055355e-12,9,EIF1B
4.92321098330611e-16,0.402888306978151,0.111,0.04,6.92449624802004e-12,9,NOL11
1.00734395435161e-15,0.681410670295701,0.261,0.153,1.41682927179554e-11,9,DDX3X
1.24653048668172e-15,0.482784892612998,0.116,0.045,1.75324512951784e-11,9,ISY1
1.43702669868281e-15,0.506548756252143,0.31,0.19,2.02117805169738e-11,9,PNISR
1.59813629242882e-15,0.278063427348753,0.815,0.766,2.24777869530113e-11,9,RPL24
1.64703349057929e-15,0.586531326643232,0.155,0.07,2.31655260449977e-11,9,DDX6
2.00278905345173e-15,0.51672431499601,0.111,0.043,2.81692280367986e-11,9,PELI1
2.01836438635971e-15,0.607132126603644,0.326,0.207,2.83882950941494e-11,9,MKRN1
2.15759504738338e-15,0.445888973400863,0.618,0.537,3.03465743414472e-11,9,SAP18
2.27443488268796e-15,0.47102763871993,0.169,0.079,3.19899266250062e-11,9,SAR1B
2.32510487107339e-15,0.531757831132841,0.19,0.094,3.27026000116472e-11,9,DHX36
2.56296303758854e-15,0.555898190015237,0.379,0.262,3.60480751236828e-11,9,ELF1
3.67659270351079e-15,0.629028376302404,0.15,0.067,5.17112763748793e-11,9,ATG5
4.82987739558036e-15,0.422765702535825,0.109,0.041,6.79322255688377e-11,9,YAF2
